iata,name,city,country_code,size_rank
LPP,Lappeenranta Airport,Lappeenranta,FI,0
LPQ,Luang Phabang International Airport,Luang Phabang,LA,0
LRM,Casa De Campo International Airport,La Romana,DO,0
LTN,London Luton Airport,"Luton, Luton",GB,0
LTO,Loreto International Airport,Loreto,MX,0
LUN,Kenneth Kaunda International Airport,Lusaka,ZM,0
LUX,Luxembourg-Findel International Airport,Luxembourg,LU,0
LUZ,Lublin Airport,Lublin,PL,0
LVI,Harry Mwanga Nkumbula International Airport,Livingstone,ZM,0
LWN,Shirak International Airport,Gyumri,AM,0
LXA,Lhasa Gonggar International Airport,Shannan (Gonggar),CN,0
LXR,Luxor International Airport,Luxor,EG,0
LYA,Luoyang Beijiao Airport,Luoyang (Laocheng),CN,0
LYG,Lianyungang Huaguoshan International Airport,Lianyungang,CN,0
LYP,Faisalabad International Airport,Faisalabad,PK,0
LYS,Lyon Saint-Exupéry Airport,"Colombier-Saugnieu, Rhône",FR,0
MAA,Chennai International Airport,Chennai,IN,0
MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,0
MAH,Menorca Airport,Mahón (Maó),ES,0
MAJ,Marshall Islands International Airport,Majuro Atoll,MH,0
MAN,Manchester Airport,"Manchester, Greater Manchester",GB,0
MAO,Eduardo Gomes International Airport,Manaus,BR,0
MAR,La Chinita International Airport,Maracaibo,VE,0
MBA,Moi International Airport,Mombasa,KE,0
MBJ,Sangster International Airport,Montego Bay,JM,0
MCI,Kansas City International Airport,Kansas City,US,0
MCO,Orlando International Airport,Orlando,US,0
MCT,Muscat International Airport,Muscat/Seeb,OM,0
MCX,Makhachkala Uytash International Airport,Makhachkala,RU,0
MCY,Sunshine Coast Airport,Maroochydore,AU,0
MCZ,Zumbi dos Palmares International Airport,Maceió,BR,0
MDC,Sam Ratulangi International Airport,Manado,ID,0
MDE,Jose Maria Córdova International Airport,Medellín,CO,0
MDL,Mandalay International Airport,Mandalay,MM,0
MDW,Chicago Midway International Airport,Chicago,US,0
MDZ,Governor Francisco Gabrielli International Airport,Mendoza,AR,0
MED,Prince Mohammad Bin Abdulaziz Airport,Medina,SA,0
MEL,Melbourne Airport,Melbourne,AU,0
MEM,Frederick W. Smith International Airport,Memphis,US,0
MEX,Mexico City Benito Juárez International Airport,Mexico City,MX,0
MFM,Macau International Airport,Nossa Senhora do Carmo,MO,0
MFU,Mfuwe International Airport,Mfuwe,ZM,0
MGA,Augusto C. Sandino (Managua) International Airport,Managua,NI,0
MGQ,Aden Adde International Airport,Mogadishu,SO,0
MHD,Mashhad International Airport,Mashhad,IR,0
MIA,Miami International Airport,Miami,US,0
MID,Manuel Crescencio Rejón International Airport,Mérida,MX,0
MIU,Maiduguri International Airport,Maiduguri,NG,0
MJI,Mitiga International Airport,Tripoli,LY,0
MJN,Amborovy Airport,Mahajanga,MG,0
MKE,General Mitchell International Airport,Milwaukee,US,0
MLA,Malta International Airport,Valletta,MT,0
MLE,Velana International Airport,Malé,MV,0
MLM,General Francisco J. Mujica International Airport,Morelia,MX,0
MMK,Emperor Nicholas II Murmansk Airport,Murmansk,RU,0
MMX,Malmö Sturup Airport,Malmö,SE,0
MNI,John A. Osborne Airport,Gerald's Park,MS,0
MNL,Ninoy Aquino International Airport,Manila (Pasay),PH,0
MPL,Montpellier-Méditerranée Airport,Montpellier/Méditerranée,FR,0
MPM,Maputo Airport,Maputo,MZ,0
MQF,Magnitogorsk International Airport,Magnitogorsk,RU,0
